Time;Name;Class;Sender;Static
20:11:29.810;afterOpen;yii\base\Event;yii\db\Connection;Нет
20:11:29.878;beforeRequest;yii\base\Event;yii\web\Application;Нет
20:11:29.894;beforeAction;yii\base\ActionEvent;yii\web\Application;Нет
20:11:29.933;init;yii\base\Event;app\models\CityQuery;Нет
20:11:29.958;init;yii\base\Event;app\models\CityQuery;Нет
20:11:29.990;init;yii\base\Event;yii\db\ActiveQuery;Нет
20:11:29.992;init;yii\base\Event;app\models\shop\RegionPhone;Нет
20:11:29.992;afterFind;yii\base\Event;app\models\shop\RegionPhone;Нет
20:11:30.067;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:30.070;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:30.086;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:30.086;init;yii\base\Event;app\models\CityQuery;Нет
20:11:30.101;init;yii\base\Event;app\models\delivery\DeliveryDepartmentQuery;Нет
20:11:30.131;init;yii\base\Event;app\models\mindbox\MindboxV3Log;Нет
20:11:30.143;beforeValidate;yii\base\ModelEvent;app\models\mindbox\MindboxV3Log;Нет
20:11:30.143;afterValidate;yii\base\Event;app\models\mindbox\MindboxV3Log;Нет
20:11:30.143;beforeInsert;yii\base\ModelEvent;app\models\mindbox\MindboxV3Log;Нет
20:11:30.161;afterInsert;yii\db\AfterSaveEvent;app\models\mindbox\MindboxV3Log;Нет
20:11:30.169;beforeAction;yii\base\ActionEvent;app\controllers\CatalogController;Нет
20:11:30.202;init;yii\base\Event;app\models\shop\ProductQuerySphinx;Нет
20:11:30.202;init;yii\base\Event;app\models\shop\ProductQuerySphinx;Нет
20:11:30.223;afterOpen;yii\base\Event;yii\sphinx\Connection;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.278;init;yii\base\Event;app\models\shop\ProductSphinx;Нет
20:11:30.279;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:30.279;init;yii\base\Event;app\models\CityQuery;Нет
20:11:30.284;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:30.284;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:30.284;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:30.992;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.003;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.004;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.004;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.028;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.030;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.031;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.031;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.051;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.054;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.055;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.055;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.076;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.078;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.079;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.079;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.101;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.104;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.105;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.105;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.123;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.125;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.126;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.126;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.144;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.147;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.147;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.147;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.169;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.171;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.172;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.172;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.193;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.196;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.197;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.197;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.221;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.223;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.223;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.223;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.243;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.246;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.246;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.246;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.269;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.272;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.273;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.273;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.293;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.296;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.296;init;yii\base\Event;app\models\shop\Shop;Нет
